
%%%0%%%,"hello {name}"
%%%1%%%,"Buy"
%%%2%%%,"Sell"
%%%3%%%,"amount"
%%%4%%%,"for {total} {fiatCurrency} using card?"
%%%5%%%,"Change"
%%%6%%%,"Number"
%%%7%%%,"Expiry"
%%%8%%%,"CVC"
%%%9%%%,"You have reached your credit card limit! You have already used {currency}{amount} in the dojo today. "
%%%10%%%,"Required"
%%%11%%%,"MM/YY"
%%%12%%%,"325"
%%%13%%%,"Shake"
%%%14%%%,"{offerType} {amount} {currency} for {total} {currency_symbol} in {payment_method}?"
%%%15%%%,"{offerType} {amount} {currency} for {total} {currency_symbol} ({payment_method})"
%%%16%%%,"{offerType} {something} for {amount} {currency}"
%%%17%%%,"{offerType} {amount} {currency} for {total} {currency_symbol} ({payment_method})"
%%%18%%%,"{offerType} {something} for {amount} {currency}"
%%%19%%%,"You{just}{offerType} {amount} {currency} for {total} {currency_symbol} on your card - fee {fee}%"
%%%20%%%,"{distance} away"
%%%21%%%,"Successful ({success}) / Failed ({failed})"
%%%22%%%,"You are about to {type} {amount} {currency} for {total} {currency_symbol}"
%%%23%%%,"You are about to {type} {amount} {currency} for {total} {currency_symbol}"
%%%24%%%,"Do you want to Reject this handshake? You will not be able to make transactions for 4 hours."
%%%25%%%,"Finish shaking?"
%%%26%%%,"Are you sure you want to withdraw?"
%%%27%%%,"Cancel this order?"
%%%28%%%,"Finish your order?"
%%%29%%%,"Accept the order?"
%%%30%%%,"Success! You have created an offer on Ninja."
%%%31%%%,"Success! A ninja has shaked on your order."
%%%32%%%,"Success! Your order is now closed."
%%%33%%%,"You have successfully shaked on Ninja"
%%%34%%%,"You have cancelled your order "
%%%35%%%,"Your offer has been withdrawn."
%%%36%%%,"Your order using your credit card has gone through."
%%%37%%%,"You don't have enough coin right now. Please top up your wallet."
%%%38%%%,"Do you want to set up an offer to {intentMsg}?"
%%%39%%%,"You don't have enough coin right now. Please top up your wallet."
%%%40%%%,"Success! Your order is now listed on Ninja"
%%%41%%%,"You have successfully deleted your order."
%%%42%%%,"You have successfully shaked on Ninja"
%%%43%%%,"Good news! Your order has been accepted."
%%%44%%%,"Your order has been cancelled!"
%%%45%%%,"You rejected a fellow ninja's order."
%%%46%%%,"Good news! Your order has been completed."
%%%47%%%,"Oops! You already created an order on Ninja."
%%%48%%%,"{offerTypeBuy} {amountBuy} {currency} at {fiatAmountBuy} {fiatAmountCurrency}. "
%%%49%%%,"{offerTypeSell} {amountSell} {currency} at {fiatAmountSell} {fiatAmountCurrency}."
%%%50%%%,"You must set your wallet on Mainnet"
%%%51%%%,"Moving your coin to escrow. This may take a few minutes."
%%%52%%%,"Moving your coin from escrow. This may take a few minutes."
%%%53%%%,"I want to buy"
%%%54%%%,"I want to sell"
%%%55%%%,"Current market price"
%%%56%%%,"My price"
%%%57%%%,"My price"
%%%58%%%,"Market price ± percentage"
%%%59%%%,"Station name"
%%%60%%%,"Phone"
%%%61%%%,"Meet-up place"
%%%62%%%,"Be a seller"
%%%63%%%,"You can also be a buyer"
%%%64%%%,"Station information"
%%%65%%%,"I want to"
%%%66%%%,"any item or service"
%%%67%%%,"Coin"
%%%68%%%,"Amount"
%%%69%%%,"Phone"
%%%70%%%,"Meet-up place"
%%%71%%%,"BUY"
%%%72%%%,"SELL"
%%%73%%%,"({reviewCount})"
%%%74%%%,"Got coins? Turn them into a money-making machine."
%%%75%%%,"BECOME A LOCAL EXCHANGE"
%%%76%%%,"Amount"
%%%77%%%,"Total"
%%%78%%%,"Maximum:"
%%%79%%%,"With"
%%%80%%%,"From"
%%%81%%%,"About"
%%%82%%%,"Confirm"
%%%83%%%,"OK"
%%%84%%%,"Not now"
%%%85%%%,"Buy"
%%%86%%%,"Sell"
%%%87%%%,"Bought"
%%%88%%%,"Sold"
%%%89%%%,"Buying"
%%%90%%%,"Selling"
%%%91%%%,"buyer"
%%%92%%%,"seller"
%%%93%%%,"created"
%%%94%%%,"active"
%%%95%%%,"closing"
%%%96%%%,"closed"
%%%97%%%,"shaking"
%%%98%%%,"shake"
%%%99%%%,"completing"
%%%100%%%,"completed"
%%%101%%%,"withdrawing"
%%%102%%%,"withdraw"
%%%103%%%,"rejecting"
%%%104%%%,"rejected"
%%%105%%%,"Processing"
%%%106%%%,"Done"
%%%107%%%,"Failed"
%%%108%%%,"Verifying..."
%%%109%%%,"Active"
%%%110%%%,"Pending..."
%%%111%%%,"Closed"
%%%112%%%,"Shake pending"
%%%113%%%,"Shook"
%%%114%%%,"Shake pending..."
%%%115%%%,"Shook"
%%%116%%%,"Rejecting"
%%%117%%%,"Rejected"
%%%118%%%,"Completing..."
%%%119%%%,"Done"
%%%120%%%,"Cancelling"
%%%121%%%,"Cancelled"
%%%122%%%,"Sorry Ninja. Something went wrong. Come back soon."
%%%123%%%,"Oh no! You cancelled your offer. You will not be able to make orders for 4 hours. Sorry"
%%%124%%%,"You already have a listing! To change your rates, please cancel your current listing."
%%%125%%%,"Looks like that listing has been deleted."
%%%126%%%,"Sorry ninja, someone else got there first."
%%%127%%%,"Oops! Something went wrong. Come back soon."
%%%128%%%,"It looks like that token is invalid."
%%%129%%%,"You are already a ninja."
%%%130%%%,"Sorry, that ninja does not exist."
%%%131%%%,"It looks like you have reached your credit card limit."
%%%132%%%,"You already have a listing! To change your rates, please cancel your current listing."
%%%133%%%,"Oops! Something went wrong."
%%%134%%%,"Required"
%%%135%%%,"You need to fill in one of these!"
%%%136%%%,"Must be greater than {min}"
%%%137%%%,"Must be less than {max}"
%%%138%%%,"Initiate"
%%%139%%%,"Shake"
%%%140%%%,"Reject"
%%%141%%%,"Complete"
%%%142%%%,"Withdraw"
%%%143%%%,"Cancel"
%%%144%%%,"Close"
%%%145%%%,"Accept"
%%%146%%%,"FAQ"
%%%147%%%,"Decentralized"
%%%148%%%,"Prediction Exchange"
%%%149%%%,"What is Ninja PEX?"
%%%150%%%,"Ninja is an anonymous peer-to-peer decentralized prediction exchange running on top of the Ethereum blockchain."
%%%151%%%,"What’s special about PEX? Why should i bet on one?"
%%%152%%%,"It allows parties to directly bet against each other without going through a central authority or bookmaker. This makes it 100% anonymous, no signs up no downloads required. The management of bets and the settlement of winnings are carried out collectively by the blockchain network, protecting users from any single point of failure. You can also create your own prediction markets."
%%%153%%%,"Do I need Ether? Does it support other cryptocurrencies?"
%%%154%%%,"It allows parties to directly bet against each other without going through a central authority or bookmaker. This makes it 100% anonymous, no signs up no downloads required. The management of bets and the settlement of winnings are carried out collectively by the blockchain network, protecting users from any single point of failure. You can also create your own prediction markets."
